Id,Card,Card type,Monster type,Attribute,Type,Level,ATK,DEF 
4007,Blue-Eyes White Dragon,Monster,Normal,LIGHT,Dragon,8,3000,2500
4008,Mystical Elf,Monster,Normal,LIGHT,Spellcaster,4,800,2000
4009,Hitotsu-Me Giant,Monster,Normal,EARTH,Beast-Warrior,4,1200,1000
4010,Baby Dragon,Monster,Normal,WIND,Dragon,3,1200,700
4011,Ryu-Kishin,Monster,Normal,DARK,Fiend,3,1000,500
4012,Feral Imp,Monster,Normal,DARK,Fiend,4,1300,1400
4013,"Winged Dragon, Guardian of the Fortress #1",Monster,Normal,WIND,Dragon,4,1400,1200
4014,Mushroom Man,Monster,Normal,EARTH,Plant,2,800,600
4015,Shadow Specter,Monster,Normal,DARK,Zombie,1,500,200
4016,Blackland Fire Dragon,Monster,Normal,DARK,Dragon,4,1500,800
4017,Sword Arm of Dragon,Monster,Normal,EARTH,Dinosaur,6,1750,2030
4018,Swamp Battleguard,Monster,Effect,EARTH,Warrior,5,1800,1500
4019,Tyhone,Monster,Normal,WIND,Winged Beast,4,1200,1400
4020,Battle Steer,Monster,Normal,EARTH,Beast-Warrior,5,1800,1300
4021,Flame Swordsman,Monster,Fusion,FIRE,Warrior,5,1800,1600
4022,Time Wizard,Monster,Effect,LIGHT,Spellcaster,2,500,400
4023,Right Leg of the Forbidden One,Monster,Normal,DARK,Spellcaster,1,200,300
4024,Left Leg of the Forbidden One,Monster,Normal,DARK,Spellcaster,1,200,300
4025,Right Arm of the Forbidden One,Monster,Normal,DARK,Spellcaster,1,200,300
4026,Left Arm of the Forbidden One,Monster,Normal,DARK,Spellcaster,1,200,300
4027,Exodia the Forbidden One,Monster,Effect,DARK,Spellcaster,3,1000,1000
4028,Summoned Skull,Monster,Normal,DARK,Fiend,6,2500,1200
4029,The Wicked Worm Beast,Monster,Effect,EARTH,Beast,3,1400,700
4030,Skull Servant,Monster,Normal,DARK,Zombie,1,300,200
4031,Horn Imp,Monster,Normal,DARK,Fiend,4,1300,1000
4032,Battle Ox,Monster,Normal,EARTH,Beast-Warrior,4,1700,1000
4033,Beaver Warrior,Monster,Normal,EARTH,Beast-Warrior,4,1200,1500
4034,Rock Ogre Grotto #1,Monster,Normal,EARTH,Rock,3,800,1200
4035,Mountain Warrior,Monster,Normal,EARTH,Beast-Warrior,3,600,1000
4036,Zombie Warrior,Monster,Fusion,DARK,Zombie,3,1200,900
4037,Koumori Dragon,Monster,Normal,DARK,Dragon,4,1500,1200
4038,Two-Headed King Rex,Monster,Normal,EARTH,Dinosaur,4,1600,1200
4039,Judge Man,Monster,Normal,EARTH,Warrior,6,2200,1500
4040,Saggi the Dark Clown,Monster,Normal,DARK,Spellcaster,3,600,1500
4041,Dark Magician,Monster,Normal,DARK,Spellcaster,7,2500,2100
4042,The Snake Hair,Monster,Normal,DARK,Zombie,4,1500,1200
4043,Gaia the Dragon Champion,Monster,Fusion,WIND,Dragon,7,2600,2100
4044,Gaia The Fierce Knight,Monster,Normal,EARTH,Warrior,7,2300,2100
4045,Curse of Dragon,Monster,Normal,DARK,Dragon,5,2000,1500
4046,Dragon Piper,Monster,Effect,FIRE,Pyro,3,200,1800
4047,Celtic Guardian,Monster,Normal,EARTH,Warrior,4,1400,1200
4048,Illusionist Faceless Mage,Monster,Normal,DARK,Spellcaster,5,1200,2200
4049,Karbonala Warrior,Monster,Fusion,EARTH,Warrior,4,1500,1200
4050,Rogue Doll,Monster,Normal,LIGHT,Spellcaster,4,1600,1000
4051,Oscillo Hero #2,Monster,Normal,LIGHT,Thunder,3,1000,500
4052,Griffore,Monster,Normal,EARTH,Beast,4,1200,1500
4053,Torike,Monster,Normal,EARTH,Beast,3,1200,600
4054,Sangan,Monster,Effect,DARK,Fiend,3,1000,600
4055,Big Insect,Monster,Normal,EARTH,Insect,4,1200,1500
4056,Basic Insect,Monster,Normal,EARTH,Insect,2,500,700
4057,Armored Lizard,Monster,Normal,EARTH,Reptile,4,1500,1200
4058,Hercules Beetle,Monster,Normal,EARTH,Insect,5,1500,2000
4059,Killer Needle,Monster,Normal,WIND,Insect,4,1200,1000
4060,Gokibore,Monster,Normal,EARTH,Insect,4,1200,1400
4061,Giant Flea,Monster,Normal,EARTH,Insect,4,1500,1200
4062,Larvae Moth,Monster,Effect,EARTH,Insect,2,500,400
4063,Great Moth,Monster,Effect,EARTH,Insect,8,2600,2500
4064,Kuriboh,Monster,Effect,DARK,Fiend,1,300,200
4065,Mammoth Graveyard,Monster,Normal,EARTH,Dinosaur,3,1200,800
4066,Great White,Monster,Normal,WATER,Fish,4,1600,800
4067,Wolf,Monster,Normal,EARTH,Beast,3,1200,800
4068,Harpie Lady,Monster,Normal,WIND,Winged Beast,4,1300,1400
4069,Harpie Lady Sisters,Monster,Effect,WIND,Winged Beast,6,1950,2100
4070,Tiger Axe,Monster,Normal,EARTH,Beast-Warrior,4,1300,1100
4071,Silver Fang,Monster,Normal,EARTH,Beast,3,1200,800
4072,Kojikocy,Monster,Normal,EARTH,Warrior,4,1500,1200
4073,Perfectly Ultimate Great Moth,Monster,Effect,EARTH,Insect,8,3500,3000
4074,Garoozis,Monster,Normal,FIRE,Beast-Warrior,5,1800,1500
4075,Thousand Dragon,Monster,Fusion,WIND,Dragon,7,2400,2000
4076,Fiend Kraken,Monster,Normal,WATER,Aqua,4,1200,1400
4077,Jellyfish,Monster,Normal,WATER,Aqua,4,1200,1500
4078,Cocoon of Evolution,Monster,Effect,EARTH,Insect,3,0,2000
4079,Kairyu-Shin,Monster,Normal,WATER,Sea Serpent,5,1800,1500
4080,Giant Soldier of Stone,Monster,Normal,EARTH,Rock,3,1300,2000
4081,Man-Eating Plant,Monster,Normal,EARTH,Plant,2,800,600
4082,Krokodilus,Monster,Normal,WATER,Reptile,4,1100,1200
4083,Grappler,Monster,Normal,WATER,Reptile,4,1300,1200
4084,Axe Raider,Monster,Normal,EARTH,Warrior,4,1700,1150
4085,Megazowler,Monster,Normal,EARTH,Dinosaur,6,1800,2000
4086,Uraby,Monster,Normal,EARTH,Dinosaur,4,1500,800
4087,Crawling Dragon #2,Monster,Normal,EARTH,Dinosaur,4,1600,1200
4088,Red-Eyes B. Dragon,Monster,Normal,DARK,Dragon,7,2400,2000
4089,Castle of Dark Illusions,Monster,Effect,DARK,Fiend,4,920,1930
4090,Reaper of the Cards,Monster,Effect,DARK,Fiend,5,1380,1930
4091,King of Yamimakai,Monster,Normal,DARK,Fiend,5,2000,1530
4092,Barox,Monster,Fusion,DARK,Fiend,5,1380,1530
4093,Dark Chimera,Monster,Normal,DARK,Fiend,5,1610,1460
4094,Metal Guardian,Monster,Normal,DARK,Fiend,5,1150,2150
4095,Catapult Turtle,Monster,Effect,WATER,Aqua,5,1000,2000
4096,Gyakutenno Megami,Monster,Normal,LIGHT,Fairy,6,1800,2000
4097,Mystic Horseman,Monster,Normal,EARTH,Beast,4,1300,1550
4098,Rabid Horseman,Monster,Fusion,EARTH,Beast-Warrior,6,2000,1700
4099,Zanki,Monster,Normal,EARTH,Warrior,5,1500,1700
4100,Crawling Dragon,Monster,Normal,EARTH,Dragon,5,1600,1400
4101,Crass Clown,Monster,Effect,DARK,Fiend,4,1350,1400
4102,Armored Zombie,Monster,Normal,DARK,Zombie,3,1500,0
4103,Dragon Zombie,Monster,Normal,DARK,Zombie,3,1600,0
4104,Clown Zombie,Monster,Normal,DARK,Zombie,2,1350,0
4105,Pumpking the King of Ghosts,Monster,Effect,DARK,Zombie,6,1800,2000
4106,Battle Warrior,Monster,Normal,EARTH,Warrior,3,700,1000
4107,Wings of Wicked Flame,Monster,Normal,FIRE,Pyro,2,700,600
4108,Mask of Darkness,Monster,Effect,DARK,Fiend,2,900,400
4109,Job-Change Mirror,Monster,Normal,DARK,Fiend,3,800,1300
4110,Curtain of the Dark Ones,Monster,Normal,DARK,Spellcaster,2,600,500
4111,Tomozaurus,Monster,Normal,EARTH,Dinosaur,2,500,400
4112,Spirit of the Winds,Monster,Normal,WIND,Spellcaster,5,1700,1400
4113,Kageningen,Monster,Normal,DARK,Warrior,2,800,600
4114,Graveyard and the Hand of Invitation,Monster,Normal,DARK,Zombie,3,700,900
4115,Goddess with the Third Eye,Monster,Effect,LIGHT,Fairy,4,1200,1000
4116,Hero of the East,Monster,Normal,EARTH,Warrior,3,1100,1000
4117,Doma The Angel of Silence,Monster,Normal,DARK,Fairy,5,1600,1400
4118,That Which Feeds on Life,Monster,Normal,DARK,Fiend,4,1200,1000
4119,Dark Gray,Monster,Normal,EARTH,Beast,3,800,900
4120,White Magical Hat,Monster,Effect,LIGHT,Spellcaster,3,1000,700
4121,Kamionwizard,Monster,Fusion,DARK,Spellcaster,4,1300,1100
4122,Nightmare Scorpion,Monster,Normal,EARTH,Insect,3,900,800
4123,Spirit of the Books,Monster,Normal,WIND,Winged Beast,4,1400,1200
4124,Supporter in the Shadows,Monster,Normal,EARTH,Warrior,3,1000,1000
4125,Trial of Nightmare,Monster,Normal,DARK,Fiend,4,1300,900
4126,Dream Clown,Monster,Effect,EARTH,Warrior,3,1200,900
4127,Sleeping Lion,Monster,Normal,EARTH,Beast,4,700,1700
4128,Yamatano Dragon Scroll,Monster,Normal,WIND,Dragon,2,900,300
4129,Dark Plant,Monster,Normal,DARK,Plant,1,300,400
4130,Ancient Tool,Monster,Normal,DARK,Machine,5,1700,1400
4131,Faith Bird,Monster,Normal,WIND,Winged Beast,4,1500,1100
4132,Orion the Battle King,Monster,Normal,LIGHT,Fairy,5,1800,1500
4133,Ansatsu,Monster,Normal,EARTH,Warrior,5,1700,1200
4134,LaMoon,Monster,Normal,LIGHT,Spellcaster,5,1200,1700
4135,Nemuriko,Monster,Normal,DARK,Spellcaster,3,800,700
4136,Weather Control,Monster,Normal,LIGHT,Fairy,2,600,400
4137,Octoberser,Monster,Normal,WATER,Aqua,5,1600,1400
4138,The 13th Grave,Monster,Normal,DARK,Zombie,3,1200,900
4139,Charubin the Fire Knight,Monster,Fusion,FIRE,Pyro,3,1100,800
4140,Mystical Capture Chain,Monster,Normal,LIGHT,Fairy,2,700,700
4141,Fiend's Hand,Monster,Normal,DARK,Zombie,2,600,600
4142,Witty Phantom,Monster,Normal,DARK,Fiend,4,1400,1300
4143,Mystery Hand,Monster,Normal,DARK,Fiend,2,500,500
4144,Dragon Statue,Monster,Normal,EARTH,Warrior,3,1100,900
4145,Blue-Eyed Silver Zombie,Monster,Normal,,,3,900,700
4146,Toad Master,Monster,Normal,WATER,Aqua,3,1000,1000
4147,Spiked Snail,Monster,Normal,DARK,Insect,3,700,1300
4148,Flame Manipulator,Monster,Normal,FIRE,Spellcaster,3,900,1000
4149,Necrolancer the Timelord,Monster,Normal,DARK,Spellcaster,3,800,900
4150,Djinn the Watcher of the Wind,Monster,Normal,WIND,Spellcaster,3,700,900
4151,The Bewitching Phantom Thief,Monster,Normal,DARK,Spellcaster,2,700,700
4152,Temple of Skulls,Monster,Normal,DARK,Zombie,4,900,1300
4153,Monster Egg,Monster,Normal,EARTH,Warrior,3,600,900
